item_id,produto_ml,marca_ml,sku_ml,receita,pedidos,candidato_seconds_id,candidato_seconds_produto,candidato_seconds_sku,candidato_seconds_marca,candidato_cmv_unitario,score_similaridade,metodo_match,status_match_inteligente,padrao_erro,motivo_original
MLB4080244565,Molas Esportivas Pro-kit Eibach Mercedes C180 C200 C250 W204,Eibach,N/D,2245.0,1,MLB4325263915,Pro-kit Molas Esportivas Eibach Mercedes W205 C180-300 2014+,E10-25-036-01-22,Eibach,1391.04,90.09,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5420786736,Par Tambor Freio Traseiro Corsa 1.0 1.4 1.8 Frente Montana,MDS,N/D,2098.65,6,MLB5933618914,Calha De Chuva Fumê Corsa 03 A 12 Frente Da Montana 4 Portas,70.001A,Ecoflex,70.07,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
MLB5771132650,Jogo Junta Completo Fiesta 1.0 8v Zetec Rocam Gasolina,N/D,N/D,2088.35,9,MLB5016360074,Junta Cabeçote Sob Medida 3mm Fiesta Ka 1.0 8v Zetec Rocam,131545PK30,Bastos Juntas,42.34,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
MLB4482750235,Kit Válvula Admissão E Escape Cruze Tracker 1.8 16v Ecotec,N/D,N/D,1843.94,3,MLB4482699051,"Jg Válvula De Admissão Cruze, Tracker 1.8 16v Ecotec",VADGM18H-2,Takao,97.44,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB5420670994,Par Disco De Freio Dianteiro Sólido Kwid 1.0 2017 2018 2019,MDS,N/D,1809.5,8,MLB4104432261,Pastilha Freio Dianteira Renault Kwid 1.0 2017 2018 2019,ECO1589,Ecopads,37.95,87.5,produto,MATCH_PROVAVEL,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4087944673,Par Tambor De Freio Traseiro Ford Ka 1.0 1.3 1.6 1997 A 2014,MDS,N/D,1807.82,5,MLB6089648512,"Jogo Pistão E Anéis Ford Ka 1.0 Flex 12v 2014/2020 1,00mm",PFO10C/100 - ASFO10A/100,Takao,326.86,82.76,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
MLB6502062310,Cano Duplo De Água Do Motor Para Amarok 2.0 16v 2010/... Preto,N/D,N/D,1771.88,9,MLB4405125615,Par Disco De Freio Diant Amarok 2.0 16v 2010 A 2018,D303,MDS,244.87,73.47,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5298371120,"Jogo Aneis 0,60 147 Uno Fiorino Premio 1.0 1.3 1.5 8v 84/95",N/D,N/D,1755.24,11,MLB3985660399,Jogo Aneis Std 147 Uno Fiorino Premio 1.0 1.3 1.5 8v 84/95,ASFI13/STD,Takao,75.69,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4430273829,"Kit Jg Pistao E Aneis Bravo Doblo Idea Linea 1.8 16v E-torq 0,40mm",N/D,N/D,1744.36,3,MLB6616447902,"Kit Jg Pistao E Aneis 0,40 Bravo Doblo Idea 1.8 16v E-torq",PFI18F/040 - ASFI18B/040,Takao,382.45,96.2,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4404425007,Par Disco De Freio Dianteiro Para Volare V6 6000 2004 À 2012,N/D,N/D,1730.96,3,MLB5733825924,Pastilha Freio A-class (w169) A 200 2004 A 2012,OCTA2005,OriginALLparts,78.81,73.91,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB3871363101,Junta Cabeçote Aço Inox Onix Plus Ecotec 1.0 12v 19/24,N/D,N/D,1725.79,9,MLB5107261184,Jogo Junta Motor Aço Inox Onix Ecotec Plus 1.0 12v 19/24,1210173ML,Bastos Juntas,178.72,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB5663268708,Tambor Campana Freio Traseira Fusca 4 Furos C/cubo Par,N/D,N/D,1701.24,4,MLB5763684264,Parafusos De Cabeçote Honda Fit 1.5 16v Gas/flex 2005 Á 2015,PCH13,Takao,90.2,60.0,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4527961467,Jogo Pistao Com Aneis Gm Cruze 1.8 16v Ecotec 2011 A 2016,N/D,N/D,1659.56,3,MLB6079887828,"Jogo Pistao Com Aneis Gm Cruze 1.8 16v Ecotec 2011 A 2016 0,50mm",PGM18H/050 - ASGM20A/050,Takao,346.47,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB6143573326,Jogo Junta Cabeçote Azera Santa Fé Sorento 3.3 08/21,N/D,N/D,1654.5300000000002,3,MLB4607480087,Junta Cabeçote Freemont Santa Fé Sorento Outlander 2.4 16v,141591PK,Bastos Juntas,133.7,83.78,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4404424995,Par De Disco De Freio Dianteiro Sprinter 313 413 2002 À 2006,N/D,N/D,1652.34,5,MLB4111347375,Pastilha Freio Dianteira Hb20 1.0 2020 A 2026,ECO1660,Ecopads,40.51,69.57,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6079848988,Jogo Pistao Com Aneis Gm Cruze 1.8 16v Ecotec 2011 A 2016 Std,N/D,N/D,1647.9,3,MLB6079887828,"Jogo Pistao Com Aneis Gm Cruze 1.8 16v Ecotec 2011 A 2016 0,50mm",PGM18H/050 - ASGM20A/050,Takao,346.47,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB5762363874,Bomba De Água Takao Isuzu Gmc 7.110 4.3 8v 4hf1 Sohc,N/D,N/D,1640.88,4,MLB5762498282,Bomba D'água  Sonata 2.4 16v,BOHY20A,Takao,433.18,76.47,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5410746906,Molas Eibach Pro-kit Gm Astra | Vectra Sedan - Gt 2.0 Mec,N/D,N/D,1636.58,1,MLB4325265419,Molas Eibach Pro-kit Gm Astra | Vectra Sedan - Gt 2.0 Mec,E6541-140,Eibach,1130.22,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml; nomenclatura_invertida,SEM_MATCH_SECONDS
MLB6143663810,Par Disco Freio Dianteiro Gm Tracker 1.2 2020 2021 2022 2023,N/D,N/D,1503.61,3,MLB4105480793,Pastilha De Freio Dianteira Onix 1.0 Turbo 2021 2022 2023,ECO1651,Ecopads,35.64,88.24,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6143754498,Par Disco Freio Traseiro Renault Megane 2.0 16v 2006/2009,N/D,N/D,1421.9299999999998,3,MLB6731699464,Polia Virabrequim Megane 2.0 16v 2006-2010,T-132,Triade,4999.5,83.64,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
MLB4249797695,Par Disco Freio Dianteiro Pt Cruiser 2001 A 2010 2.0 2.4 16v,N/D,N/D,1418.59,3,MLB5733739518,Pastilha Freio Pt Cruiser 2.0i 16v 2001 A 2010,OSDA0523,OriginALLparts,85.44,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB6087179454,"Jogo Pistao C/ Aneis Gol G5 G6 Voyage Fox 1.0 8v 2008 A 2016 0,50mm",N/D,N/D,1417.94,3,MLB5298290070,"Jogo Pistão 0,50 Gol Voyage Fox 1.0 8v 09/16",PVW10B/050,Takao,199.36,84.21,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5416245032,Par Disco Freio Traseiro Renault Master 2.3 2013 A 2018,MDS,N/D,1305.93,3,MLB4424330521,Pinça Freio Traseira Lado Direito Renault Master 2014 2015,71873,RoC,381.19,91.67,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
