item_id,sku,produto,marca,categoria,motivo_sem_cmv,receita_total,pedidos,unidades
MLB4430273829,N/D,"Kit Jg Pistao E Aneis Bravo Doblo Idea Linea 1.8 16v E-torq 0,40mm",N/D,N/D,SEM_MATCH_SECONDS,1744.3600000000001,3,3.0
MLB4404425007,N/D,Par Disco De Freio Dianteiro Para Volare V6 6000 2004 À 2012,N/D,N/D,SEM_MATCH_SECONDS,1730.96,3,3.0
MLB3871363101,N/D,Junta Cabeçote Aço Inox Onix Plus Ecotec 1.0 12v 19/24,N/D,N/D,SEM_MATCH_SECONDS,1725.79,9,9.0
MLB5663268708,N/D,Tambor Campana Freio Traseira Fusca 4 Furos C/cubo Par,N/D,N/D,SEM_MATCH_SECONDS,1701.24,4,4.0
MLB4614618825,BOD20A,Bomba Oleo Sentra Novo 2.0 16v Flex 2013/2020 Mr20de,Takao,Bombas de Óleo,PARAMETRO_NAO_CONFIAVEL,1660.74,2,2.0
MLB4527961467,N/D,Jogo Pistao Com Aneis Gm Cruze 1.8 16v Ecotec 2011 A 2016,N/D,N/D,SEM_MATCH_SECONDS,1659.56,3,3.0
MLB6143573326,N/D,Jogo Junta Cabeçote Azera Santa Fé Sorento 3.3 08/21,N/D,N/D,SEM_MATCH_SECONDS,1654.5300000000002,3,3.0
MLB4404424995,N/D,Par De Disco De Freio Dianteiro Sprinter 313 413 2002 À 2006,N/D,N/D,SEM_MATCH_SECONDS,1652.34,5,5.0
MLB6079848988,N/D,Jogo Pistao Com Aneis Gm Cruze 1.8 16v Ecotec 2011 A 2016 Std,N/D,N/D,SEM_MATCH_SECONDS,1647.9,3,3.0
MLB5762363874,N/D,Bomba De Água Takao Isuzu Gmc 7.110 4.3 8v 4hf1 Sohc,N/D,N/D,SEM_MATCH_SECONDS,1640.8799999999999,4,4.0
MLB5410746906,N/D,Molas Eibach Pro-kit Gm Astra | Vectra Sedan - Gt 2.0 Mec,N/D,N/D,SEM_MATCH_SECONDS,1636.58,1,1.0
MLB4604064777,1515165PK30,"Junta Cabeçote Sob Medida 2,6mm C2 C3 205 206 207 1.4 8v",Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,1535.6399999999999,7,15.0
