campaign_id,campaign_name,impressions,clicks,cost,cpc,ctr,revenue,orders,units,acos,roas,conversion_rate,date_from,date_to,periodo_inicio,periodo_fim,data_ref
353870011,Campanha PERFECT,289,2,0.24,0.12,0.69,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355891771,Campanha Starke,3785,9,8.95,0.99,0.24,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
357695479,Campanha Bastos Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355311755,Campanha Yiming,9172,15,13.23,0.88,0.16,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355395249,Campanha Indisa,11249,24,6.78,0.28,0.21,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355714163,Campanha FW,5385,13,3.87,0.3,0.24,662.19,,1,0.58,171.11,7.69,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
356119342,Campanha Green Parts,14937,28,15.96,0.57,0.19,198.86,,2,8.03,12.46,7.14,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
356637677,Campanha Multiqualita,112,2,5.77,2.89,1.79,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
353342072,Campanha OriginALLparts,30042,47,31.97,0.68,0.16,152.93,,1,20.9,4.78,2.13,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
356393911,Campanha Triade,12657,16,61.0,3.81,0.13,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
352813615,Campanha Bastos,77860,301,52.02,0.17,0.39,1193.46,,15,4.36,22.94,4.98,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
353749496,Campanha Igasa Carter,1611,4,2.08,0.52,0.25,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
352823015,Campanha Brucke,26970,41,16.14,0.39,0.15,489.35,,1,3.3,30.32,2.44,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
352823053,Campanha FQ4,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
357735719,Campanha ISAPA Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
352827226,Campanha Takao,49346,69,37.35,0.54,0.14,873.04,,4,4.28,23.37,5.8,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
356931219,Campanha Distribuidores Nacio,12,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
355261248,Campanha Takao Curva A,45997,102,112.48,1.1,0.22,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
357712860,Campanha Originall Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
357728122,Campanha Green Parts Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
356894911,Campanha Produtos Parados,82,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
