order_id,date_created,item_id,sku,produto,marca,categoria,quantity,unit_price,receita,cmv_total,frete_total,imposto_total,custo_fixo_total,comissao_total,lucro_liquido_estimado,margem_liquida_estimada,parametro_confiavel,status_parametro,full,flex,link_anuncio,status_pedido,listing_type_id,shipping_status,shipping_substatus,shipping_mode,logistic_type,shipping_option_name,shipping_option_cost,shipping_option_list_cost,receiver_cost,sender_cost,sale_fee,comissao_ml,cmv_unitario_seconds,comissao_unitaria_seconds,frete_unitario_seconds,imposto_unitario_seconds,custo_fixo_unitario_seconds,lucro_liquido_unitario_seconds,margem_seconds,match_seconds,financial_source,SKU,Marca,Nome da Categoria,FULL,Flex,Status,LinkAnuncio,CMV total,CMV unitario,CMV unit�rio,CMV unitÃƒÂ¡rio,custo_frete,custo_frete_final,imposto,custo_fixo,lucro_bruto,lucro_operacional,margem_bruta,margem_operacional,Lucro Bruto,Lucro Liquido Seconds,Margem Seconds,margem calculada,cmv_seconds,frete_seconds,imposto_seconds,custo_fixo_seconds,lucro_liquido_seconds,faturamento_seconds,estoque_atual,sold_quantity,vendidos_total,match_ml,match_type,match_score,match_confidence,matched_item_seconds
2000015161204504,2026-02-15 22:40:53+00:00,MLB5016434674,1519109BN,Junta Carter Borracha Captur Duster Sandero Oroch 2.0 16v,Bastos Juntas,Juntas de Motor,1.0,90.18,90.18,41.19,7.75,11.8,3.69,8.850000000000001,16.900000000000006,18.740297183410963,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5016434674-junta-carter-borracha-captur-duster-sandero-oroch-20-16v-_JM,paid,gold_pro,delivered,,me2,fulfillment,Prioritario,19.99,31.96,0.0,0.0,14.29,8.850000000000001,41.19,8.850000000000001,7.75,11.8,3.69,0.4499999999999999,0.6104177970699945,True,ml_orders_seconds_params,1519109BN,Bastos Juntas,Juntas de Motor,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5016434674-junta-carter-borracha-captur-duster-sandero-oroch-20-16v-_JM,41.19,41.19,41.19,41.19,7.75,7.75,11.8,3.69,40.14000000000001,32.39000000000001,44.51097804391218,35.91705477933023,40.14000000000001,16.900000000000006,18.740297183410963,18.740297183410963,41.19,7.75,11.8,3.69,16.900000000000006,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5016434674
2000015161188282,2026-02-15 22:39:22+00:00,MLB5016446138,141503PK30,Junta Cabeçote Sob Medida Fiorino 1.0/3/5  8v Fiasa 88/04,Bastos Juntas,Juntas de Motor,1.0,66.4,66.4,32.39,7.75,9.56,2.99,7.170000000000001,6.540000000000003,9.849397590361448,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5016446138-junta-cabecote-sob-medida-fiorino-1035-8v-fiasa-8804-_JM,paid,gold_pro,delivered,,me2,fulfillment,Prioritario,20.99,20.99,0.0,0.0,16.01,7.170000000000001,32.39,7.170000000000001,7.75,9.56,2.99,-0.09,-0.1505520240883238,True,ml_orders_seconds_params,141503PK30,Bastos Juntas,Juntas de Motor,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5016446138-junta-cabecote-sob-medida-fiorino-1035-8v-fiasa-8804-_JM,32.39,32.39,32.39,32.39,7.75,7.75,9.56,2.99,26.840000000000003,19.090000000000003,40.42168674698796,28.750000000000004,26.840000000000003,6.540000000000003,9.849397590361448,9.849397590361448,32.39,7.75,9.56,2.99,6.540000000000003,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5016446138
2000015161059260,2026-02-15 22:27:57+00:00,MLB5016470554,111595ML,Junta Cabeçote Aço Inox Fox Polo Gol Parati 1.6 8v Ea111,Bastos Juntas,Juntas de Motor,1.0,53.69,53.69,22.24,7.75,7.15,2.23,5.36,8.959999999999999,16.6883963494133,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5016470554-junta-cabecote-aco-inox-fox-polo-gol-parati-16-8v-ea111-_JM,paid,gold_pro,delivered,,me2,fulfillment,Normal ao endereço,0.0,0.0,0.0,0.0,15.88,5.36,22.24,5.36,7.75,7.15,2.23,-0.07,-0.1567398119122257,True,ml_orders_seconds_params,111595ML,Bastos Juntas,Juntas de Motor,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5016470554-junta-cabecote-aco-inox-fox-polo-gol-parati-16-8v-ea111-_JM,22.24,22.24,22.24,22.24,7.75,7.75,7.15,2.23,26.09,18.34,48.593779102253684,34.15906127770535,26.09,8.959999999999999,16.6883963494133,16.6883963494133,22.24,7.75,7.15,2.23,8.959999999999999,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5016470554
2000015160456512,2026-02-15 21:27:29+00:00,MLB6181324148,78506000-6,Kit 6 Engates Rápidos Para Mangueiras 1/2 - Tramontina Cinza,Tramontina,Conectores para Mangueiras,2.0,20.5,41.0,26.88,13.1,13.82,3.3,7.58,-23.68,-57.756097560975604,True,parametro_seconds_confiavel,NAO,NAO,https://produto.mercadolivre.com.br/MLB-6152762610-kit-6-engates-rapidos-para-mangueiras-12-tramontina-cinza-_JM,paid,gold_special,delivered,,me2,fulfillment,Prioritario,0.0,0.0,0.0,0.0,8.61,7.58,13.44,3.79,6.55,6.91,1.65,0.59,1.7922235722964763,True,ml_orders_seconds_params,78506000-6,Tramontina,Conectores para Mangueiras,NAO,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-6152762610-kit-6-engates-rapidos-para-mangueiras-12-tramontina-cinza-_JM,26.88,13.44,13.44,13.44,13.1,13.1,13.82,3.3,6.540000000000001,-6.559999999999999,15.951219512195125,-15.999999999999998,6.540000000000001,-23.68,-57.756097560975604,-57.756097560975604,26.88,13.1,13.82,3.3,-23.68,0.0,0.0,0.0,0.0,True,FUZZY_AUTO,86.27,MEDIA,MLB6152762610
2000015160439460,2026-02-15 21:27:20+00:00,MLB3862624623,1512165PK,Jogo Junta Cabeçote C3 206 307 1.4 8v,Bastos Juntas,Juntas de Motor,1.0,133.2,133.2,62.55,19.850000000000005,19.64,6.14,14.73,10.289999999999978,7.725225225225209,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-3862624623-jogo-junta-cabecote-c3-206-307-14-8v-_JM,paid,gold_pro,delivered,,me2,fulfillment,Padrão ao endereço,0.0,17.16,0.0,0.0,19.94,14.73,62.55,14.73,19.850000000000005,19.64,6.14,-0.18,-0.1466753585397653,True,ml_orders_seconds_params,1512165PK,Bastos Juntas,Juntas de Motor,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-3862624623-jogo-junta-cabecote-c3-206-307-14-8v-_JM,62.55,62.55,62.55,62.55,19.850000000000005,19.850000000000005,19.64,6.14,55.91999999999999,36.06999999999998,41.981981981981974,27.079579579579566,55.91999999999999,10.289999999999978,7.725225225225209,7.725225225225209,62.55,19.850000000000005,19.64,6.14,10.289999999999978,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB3862624623
2000015160352814,2026-02-15 21:17:22+00:00,MLB5933653028,,Calha De Chuva Defletor Jac J3 Sedan 2011 A 2017 4p Ecoflex,,,1.0,133.19,133.19,0.0,0.0,0.0,0.0,12.74,120.45,90.4347173211202,False,sem_parametro_seconds,N/D,N/D,,paid,gold_special,delivered,,me2,xd_drop_off,Normal,0.0,18.76,0.0,0.0,12.74,12.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ml_orders_seconds_params,,,,N/D,N/D,paid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.45,120.45,90.4347173211202,90.4347173211202,120.45,120.45,90.4347173211202,90.4347173211202,0.0,0.0,0.0,0.0,120.45,0.0,0.0,0.0,0.0,True,SEM_MATCH,66.67,BAIXA,
2000015160312604,2026-02-15 21:13:37+00:00,MLB5016458804,121517PK,Junta Cabeçote  Corsa Celta Classic Onix Prisma 1.0 8v,Bastos Juntas,CARGA MANUAL SP_Profit_Large,1.0,35.59,35.59,14.82,6.55,5.09,1.59,3.82,3.7200000000000024,10.452374262433274,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5016458804-junta-cabecote-corsa-celta-classic-onix-prisma-10-8v-_JM,paid,gold_pro,delivered,,me2,fulfillment,Normal ao endereço,0.0,0.0,0.0,0.0,12.17,3.82,14.82,3.82,6.55,5.09,1.59,-0.05,-0.1571338780641106,True,ml_orders_seconds_params,121517PK,Bastos Juntas,CARGA MANUAL SP_Profit_Large,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5016458804-junta-cabecote-corsa-celta-classic-onix-prisma-10-8v-_JM,14.82,14.82,14.82,14.82,6.55,6.55,5.09,1.59,16.950000000000003,10.400000000000002,47.62573756673223,29.22169148637258,16.950000000000003,3.7200000000000024,10.452374262433274,10.452374262433274,14.82,6.55,5.09,1.59,3.7200000000000024,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5016458804
2000015160157020,2026-02-15 20:58:53+00:00,MLB5016470592,1215117ML,Junta Cabeçote Aço Inox Corsa Cobalt 1.6 8v Palio Doblo 1.8,Bastos Juntas,Juntas de Motor,1.0,94.11,94.11,40.72,13.25,12.43,3.88,6.21,17.62,18.722771225162045,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5016470592-junta-cabecote-aco-inox-corsa-cobalt-16-8v-palio-doblo-18-_JM,paid,gold_pro,delivered,,me2,fulfillment,Retirada Prioritaria na agência,0.0,12.87,0.0,0.0,15.1,6.21,40.72,6.21,13.25,12.43,3.88,1.18,1.5192481009398735,True,ml_orders_seconds_params,1215117ML,Bastos Juntas,Juntas de Motor,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5016470592-junta-cabecote-aco-inox-corsa-cobalt-16-8v-palio-doblo-18-_JM,40.72,40.72,40.72,40.72,13.25,13.25,12.43,3.88,47.18,33.93,50.13282329189247,36.05355435129105,47.18,17.62,18.722771225162045,18.722771225162045,40.72,13.25,12.43,3.88,17.62,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5016470592
2000015159863746,2026-02-15 20:31:13+00:00,MLB4329187169,PAR-BJH12020,Par Junta Homocinetica Monza 1982 A 1996,Yiming Parts,Junta de Homocinetica,1.0,279.76,279.76,149.28,30.75,71.52,17.03,57.9,-46.72000000000001,-16.700028595939383,True,parametro_seconds_confiavel,NAO,NAO,https://produto.mercadolivre.com.br/MLB-4329187169-par-junta-homocinetica-monza-1982-a-1996-_JM,paid,gold_pro,delivered,,me2,fulfillment,Padrão ao endereço,0.0,28.45,0.0,0.0,47.56,57.9,149.28,57.9,30.75,71.52,17.03,14.11,4.142811004433483,True,ml_orders_seconds_params,PAR-BJH12020,Yiming Parts,Junta de Homocinetica,NAO,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-4329187169-par-junta-homocinetica-monza-1982-a-1996-_JM,149.28,149.28,149.28,149.28,30.75,30.75,71.52,17.03,72.57999999999998,41.829999999999984,25.943665999428077,14.952101801544176,72.57999999999998,-46.72000000000001,-16.700028595939383,-16.700028595939383,149.28,30.75,71.52,17.03,-46.72000000000001,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB4329187169
2000015159845378,2026-02-15 20:30:38+00:00,MLB6181324148,78506000-6,Kit 6 Engates Rápidos Para Mangueiras 1/2 - Tramontina Cinza,Tramontina,Conectores para Mangueiras,1.0,20.5,20.5,13.44,6.55,6.91,1.65,3.79,-11.84,-57.756097560975604,True,parametro_seconds_confiavel,NAO,NAO,https://produto.mercadolivre.com.br/MLB-6152762610-kit-6-engates-rapidos-para-mangueiras-12-tramontina-cinza-_JM,paid,gold_special,delivered,,me2,fulfillment,Prioritario,0.0,0.0,0.0,0.0,8.61,3.79,13.44,3.79,6.55,6.91,1.65,0.59,1.7922235722964763,True,ml_orders_seconds_params,78506000-6,Tramontina,Conectores para Mangueiras,NAO,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-6152762610-kit-6-engates-rapidos-para-mangueiras-12-tramontina-cinza-_JM,13.44,13.44,13.44,13.44,6.55,6.55,6.91,1.65,3.2700000000000005,-3.2799999999999994,15.951219512195125,-15.999999999999998,3.2700000000000005,-11.84,-57.756097560975604,-57.756097560975604,13.44,6.55,6.91,1.65,-11.84,0.0,0.0,0.0,0.0,True,FUZZY_AUTO,86.27,MEDIA,MLB6152762610
